method,success,s,type,seed
HTP,1,42,linear,12563
HTP',1,42,linear,12563
HTP,0,56,linear,16789
HTP',0,56,linear,16789
HTP,1,46,gaussian,13670
HTP',1,46,gaussian,13670
HTP,1,51,gaussian,15111
HTP',0,51,gaussian,15111
HTP,0,50,flat,14764
HTP',0,50,flat,14764
HTP,1,39,gaussian,11527
HTP',1,39,gaussian,11527
HTP,0,48,flat,14102
HTP',0,48,flat,14102
HTP,1,59,gaussian,17536
HTP',0,59,gaussian,17536
HTP,1,41,linear,12206
HTP',1,41,linear,12206
HTP,0,44,flat,12989
HTP',0,44,flat,12989
HTP,1,40,gaussian,11873
HTP',1,40,gaussian,11873
HTP,1,60,gaussian,17869
HTP',0,60,gaussian,17869
HTP,1,48,linear,14392
HTP',0,48,linear,14392
HTP,1,53,gaussian,15713
HTP',1,53,gaussian,15713
HTP,1,52,gaussian,15422
HTP',0,52,gaussian,15422
HTP,1,45,gaussian,13353
HTP',1,45,gaussian,13353
HTP,1,56,linear,16790
HTP',1,56,linear,16790
HTP,0,58,flat,17163
HTP',0,58,flat,17163
HTP,1,54,gaussian,16074
HTP',1,54,gaussian,16074
HTP,1,46,gaussian,13671
HTP',0,46,gaussian,13671
HTP,0,59,gaussian,17537
HTP',0,59,gaussian,17537
HTP,0,50,flat,14765
HTP',0,50,flat,14765
HTP,1,51,gaussian,15112
HTP',0,51,gaussian,15112
HTP,0,48,flat,14103
HTP',0,48,flat,14103
HTP,1,61,linear,18234
HTP',0,61,linear,18234
HTP,1,53,gaussian,15714
HTP',0,53,gaussian,15714
HTP,1,42,linear,12564
HTP',1,42,linear,12564
HTP,1,55,linear,16432
HTP',0,55,linear,16432
HTP,1,44,flat,12990
HTP',0,44,flat,12990
HTP,1,48,linear,14393
HTP',1,48,linear,14393
HTP,1,52,gaussian,15423
HTP',0,52,gaussian,15423
HTP,1,41,linear,12207
HTP',1,41,linear,12207
HTP,1,54,gaussian,16075
HTP',0,54,gaussian,16075
HTP,1,40,gaussian,11874
HTP',1,40,gaussian,11874
HTP,1,39,gaussian,11528
HTP',1,39,gaussian,11528
HTP,1,60,gaussian,17870
HTP',0,60,gaussian,17870
HTP,0,58,flat,17164
HTP',0,58,flat,17164
HTP,1,51,gaussian,15113
HTP',0,51,gaussian,15113
HTP,0,59,gaussian,17538
HTP',0,59,gaussian,17538
HTP,0,48,flat,14104
HTP',0,48,flat,14104
HTP,1,45,gaussian,13354
HTP',1,45,gaussian,13354
HTP,1,56,linear,16791
HTP',0,56,linear,16791
HTP,1,46,gaussian,13672
HTP',1,46,gaussian,13672
HTP,0,50,flat,14766
HTP',0,50,flat,14766
HTP,0,44,flat,12991
HTP',1,44,flat,12991
HTP,1,42,linear,12565
HTP',1,42,linear,12565
HTP,1,54,gaussian,16076
HTP',0,54,gaussian,16076
HTP,1,52,gaussian,15424
HTP',0,52,gaussian,15424
HTP,1,48,linear,14394
HTP',0,48,linear,14394
HTP,1,60,gaussian,17871
HTP',0,60,gaussian,17871
HTP,1,61,linear,18235
HTP',0,61,linear,18235
HTP,1,45,gaussian,13355
HTP',1,45,gaussian,13355
HTP,1,53,gaussian,15715
HTP',0,53,gaussian,15715
HTP,1,59,gaussian,17539
HTP',0,59,gaussian,17539
HTP,1,55,linear,16433
HTP',0,55,linear,16433
HTP,1,41,linear,12208
HTP',1,41,linear,12208
HTP,0,50,flat,14767
HTP',0,50,flat,14767
HTP,0,48,flat,14105
HTP',0,48,flat,14105
HTP,1,40,gaussian,11875
HTP',1,40,gaussian,11875
HTP,1,39,gaussian,11529
HTP',1,39,gaussian,11529
HTP,0,58,flat,17165
HTP',0,58,flat,17165
HTP,1,52,gaussian,15425
HTP',0,52,gaussian,15425
HTP,1,51,gaussian,15114
HTP',0,51,gaussian,15114
HTP,1,60,gaussian,17872
HTP',0,60,gaussian,17872
HTP,0,44,flat,12992
HTP',0,44,flat,12992
HTP,1,54,gaussian,16077
HTP',1,54,gaussian,16077
HTP,1,46,gaussian,13673
HTP',1,46,gaussian,13673
HTP,1,42,linear,12566
HTP',1,42,linear,12566
HTP,1,53,gaussian,15716
HTP',0,53,gaussian,15716
HTP,1,56,linear,16792
HTP',0,56,linear,16792
HTP,0,48,flat,14106
HTP',0,48,flat,14106
HTP,1,59,gaussian,17540
HTP',0,59,gaussian,17540
HTP,1,48,linear,14395
HTP',1,48,linear,14395
HTP,1,41,linear,12209
HTP',1,41,linear,12209
HTP,1,52,gaussian,15426
HTP',1,52,gaussian,15426
HTP,1,61,linear,18236
HTP',0,61,linear,18236
HTP,0,50,flat,14768
HTP',1,50,flat,14768
HTP,1,45,gaussian,13356
HTP',1,45,gaussian,13356
HTP,1,54,gaussian,16078
HTP',0,54,gaussian,16078
HTP,1,39,gaussian,11530
HTP',1,39,gaussian,11530
HTP,1,55,linear,16434
HTP',0,55,linear,16434
HTP,1,46,gaussian,13674
HTP',1,46,gaussian,13674
HTP,1,40,gaussian,11876
HTP',1,40,gaussian,11876
HTP,1,60,gaussian,17873
HTP',0,60,gaussian,17873
HTP,1,53,gaussian,15717
HTP',0,53,gaussian,15717
HTP,0,48,flat,14107
HTP',0,48,flat,14107
HTP,1,59,gaussian,17541
HTP',0,59,gaussian,17541
HTP,0,50,flat,14769
HTP',0,50,flat,14769
HTP,0,56,linear,16793
HTP',0,56,linear,16793
HTP,0,58,flat,17166
HTP',0,58,flat,17166
HTP,1,52,gaussian,15427
HTP',0,52,gaussian,15427
HTP,1,42,linear,12567
HTP',1,42,linear,12567
HTP,1,51,gaussian,15115
HTP',1,51,gaussian,15115
HTP,1,54,gaussian,16079
HTP',0,54,gaussian,16079
HTP,0,44,flat,12993
HTP',1,44,flat,12993
HTP,0,50,flat,14770
HTP',0,50,flat,14770
HTP,1,48,linear,14396
HTP',1,48,linear,14396
HTP,1,61,linear,18237
HTP',0,61,linear,18237
HTP,0,60,gaussian,17874
HTP',0,60,gaussian,17874
HTP,1,46,gaussian,13675
HTP',1,46,gaussian,13675
HTP,1,45,gaussian,13357
HTP',1,45,gaussian,13357
HTP,1,41,linear,12210
HTP',1,41,linear,12210
HTP,1,53,gaussian,15718
HTP',0,53,gaussian,15718
HTP,1,52,gaussian,15428
HTP',0,52,gaussian,15428
HTP,1,55,linear,16435
HTP',0,55,linear,16435
HTP,0,48,flat,14108
HTP',0,48,flat,14108
HTP,1,59,gaussian,17542
HTP',0,59,gaussian,17542
HTP,1,39,gaussian,11531
HTP',1,39,gaussian,11531
HTP,0,58,flat,17167
HTP',0,58,flat,17167
HTP,1,44,flat,12994
HTP',0,44,flat,12994
HTP,1,40,gaussian,11877
HTP',1,40,gaussian,11877
HTP,0,54,gaussian,16080
HTP',0,54,gaussian,16080
HTP,1,56,linear,16794
HTP',0,56,linear,16794
HTP,1,46,gaussian,13676
HTP',0,46,gaussian,13676
HTP,1,42,linear,12568
HTP',1,42,linear,12568
HTP,1,51,gaussian,15116
HTP',1,51,gaussian,15116
HTP,1,50,flat,14771
HTP',0,50,flat,14771
HTP,1,60,gaussian,17875
HTP',0,60,gaussian,17875
HTP,0,48,flat,14109
HTP',0,48,flat,14109
HTP,1,53,gaussian,15719
HTP',0,53,gaussian,15719
HTP,1,41,linear,12211
HTP',1,41,linear,12211
HTP,1,61,linear,18238
HTP',0,61,linear,18238
HTP,1,48,linear,14397
HTP',1,48,linear,14397
HTP,1,51,gaussian,15117
HTP',0,51,gaussian,15117
HTP,1,55,linear,16436
HTP',0,55,linear,16436
HTP,1,52,gaussian,15429
HTP',0,52,gaussian,15429
HTP,1,42,linear,12569
HTP',1,42,linear,12569
HTP,1,54,gaussian,16081
HTP',0,54,gaussian,16081
HTP,1,44,flat,12995
HTP',1,44,flat,12995
HTP,1,59,gaussian,17543
HTP',0,59,gaussian,17543
HTP,0,63,flat,18600
HTP',0,63,flat,18600
HTP,1,45,gaussian,13358
HTP',1,45,gaussian,13358
HTP,1,56,linear,16795
HTP',0,56,linear,16795
HTP,0,50,flat,14772
HTP',0,50,flat,14772
HTP,1,53,gaussian,15720
HTP',0,53,gaussian,15720
HTP,0,58,flat,17168
HTP',0,58,flat,17168
HTP,1,45,gaussian,13359
HTP',1,45,gaussian,13359
HTP,0,48,flat,14110
HTP',0,48,flat,14110
HTP,1,46,gaussian,13677
HTP',1,46,gaussian,13677
HTP,1,40,gaussian,11878
HTP',1,40,gaussian,11878
HTP,1,41,linear,12212
HTP',1,41,linear,12212
HTP,1,60,gaussian,17876
HTP',0,60,gaussian,17876
HTP,0,44,flat,12996
HTP',0,44,flat,12996
HTP,1,51,gaussian,15118
HTP',0,51,gaussian,15118
HTP,1,54,gaussian,16082
HTP',0,54,gaussian,16082
HTP,1,59,gaussian,17544
HTP',0,59,gaussian,17544
HTP,1,52,gaussian,15430
HTP',0,52,gaussian,15430
HTP,1,55,linear,16437
HTP',0,55,linear,16437
HTP,1,48,linear,14398
HTP',1,48,linear,14398
HTP,0,50,flat,14773
HTP',0,50,flat,14773
HTP,0,63,flat,18601
HTP',0,63,flat,18601
HTP,0,44,flat,12997
HTP',0,44,flat,12997
HTP,1,46,gaussian,13678
HTP',1,46,gaussian,13678
HTP,0,48,flat,14111
HTP',0,48,flat,14111
HTP,1,61,linear,18239
HTP',0,61,linear,18239
HTP,1,42,linear,12570
HTP',1,42,linear,12570
HTP,0,59,gaussian,17545
HTP',0,59,gaussian,17545
HTP,1,54,gaussian,16083
HTP',0,54,gaussian,16083
HTP,1,56,linear,16796
HTP',0,56,linear,16796
HTP,1,41,linear,12213
HTP',1,41,linear,12213
HTP,1,51,gaussian,15119
HTP',0,51,gaussian,15119
HTP,0,58,flat,17169
HTP',0,58,flat,17169
HTP,1,52,gaussian,15431
HTP',0,52,gaussian,15431
HTP,1,53,gaussian,15721
HTP',1,53,gaussian,15721
HTP,1,45,gaussian,13360
HTP',1,45,gaussian,13360
HTP,1,60,gaussian,17877
HTP',0,60,gaussian,17877
HTP,1,42,linear,12571
HTP',1,42,linear,12571
HTP,1,55,linear,16438
HTP',0,55,linear,16438
HTP,0,50,flat,14774
HTP',0,50,flat,14774
HTP,1,40,gaussian,11879
HTP',1,40,gaussian,11879
HTP,1,44,flat,12998
HTP',1,44,flat,12998
HTP,1,48,linear,14399
HTP',1,48,linear,14399
HTP,1,54,gaussian,16084
HTP',0,54,gaussian,16084
HTP,0,63,flat,18602
HTP',0,63,flat,18602
HTP,1,52,gaussian,15432
HTP',0,52,gaussian,15432
HTP,1,59,gaussian,17546
HTP',0,59,gaussian,17546
HTP,1,46,gaussian,13679
HTP',1,46,gaussian,13679
HTP,1,56,linear,16797
HTP',0,56,linear,16797
HTP,1,51,gaussian,15120
HTP',1,51,gaussian,15120
HTP,1,41,linear,12214
HTP',1,41,linear,12214
HTP,1,53,gaussian,15722
HTP',0,53,gaussian,15722
HTP,1,44,flat,12999
HTP',1,44,flat,12999
HTP,1,50,flat,14775
HTP',0,50,flat,14775
HTP,0,58,flat,17170
HTP',0,58,flat,17170
HTP,1,40,gaussian,11880
HTP',1,40,gaussian,11880
HTP,1,48,flat,14112
HTP',1,48,flat,14112
HTP,1,42,linear,12572
HTP',1,42,linear,12572
HTP,1,61,linear,18240
HTP',0,61,linear,18240
HTP,1,54,gaussian,16085
HTP',0,54,gaussian,16085
HTP,1,60,gaussian,17878
HTP',0,60,gaussian,17878
HTP,1,55,linear,16439
HTP',0,55,linear,16439
HTP,0,49,flat,14400
HTP',0,49,flat,14400
HTP,1,52,gaussian,15433
HTP',0,52,gaussian,15433
HTP,1,51,gaussian,15121
HTP',0,51,gaussian,15121
HTP,1,45,gaussian,13361
HTP',1,45,gaussian,13361
HTP,0,63,flat,18603
HTP',0,63,flat,18603
HTP,1,59,gaussian,17547
HTP',0,59,gaussian,17547
HTP,1,53,gaussian,15723
HTP',0,53,gaussian,15723
HTP,0,50,flat,14776
HTP',0,50,flat,14776
HTP,1,54,gaussian,16086
HTP',0,54,gaussian,16086
HTP,1,40,gaussian,11881
HTP',1,40,gaussian,11881
HTP,1,48,flat,14113
HTP',0,48,flat,14113
HTP,1,56,linear,16798
HTP',0,56,linear,16798
HTP,0,49,flat,14401
HTP',0,49,flat,14401
HTP,0,58,flat,17171
HTP',0,58,flat,17171
HTP,1,60,gaussian,17879
HTP',0,60,gaussian,17879
HTP,1,41,linear,12215
HTP',1,41,linear,12215
HTP,1,44,gaussian,13000
HTP',1,44,gaussian,13000
HTP,1,45,gaussian,13362
HTP',1,45,gaussian,13362
HTP,1,42,linear,12573
HTP',1,42,linear,12573
HTP,1,51,gaussian,15122
HTP',0,51,gaussian,15122
HTP,1,59,gaussian,17548
HTP',0,59,gaussian,17548
HTP,1,52,gaussian,15434
HTP',1,52,gaussian,15434
HTP,1,46,gaussian,13680
HTP',1,46,gaussian,13680
HTP,0,63,flat,18604
HTP',0,63,flat,18604
HTP,1,53,gaussian,15724
HTP',0,53,gaussian,15724
HTP,0,61,linear,18241
HTP',0,61,linear,18241
HTP,1,55,linear,16440
HTP',0,55,linear,16440
HTP,0,49,flat,14402
HTP',0,49,flat,14402
HTP,0,48,flat,14114
HTP',0,48,flat,14114
HTP,0,50,flat,14777
HTP',0,50,flat,14777
HTP,1,44,gaussian,13001
HTP',1,44,gaussian,13001
HTP,1,54,gaussian,16087
HTP',0,54,gaussian,16087
HTP,1,56,linear,16799
HTP',0,56,linear,16799
HTP,0,58,flat,17172
HTP',0,58,flat,17172
HTP,1,59,gaussian,17549
HTP',0,59,gaussian,17549
HTP,1,60,gaussian,17880
HTP',0,60,gaussian,17880
HTP,0,63,flat,18605
HTP',0,63,flat,18605
HTP,1,46,gaussian,13681
HTP',1,46,gaussian,13681
HTP,0,48,flat,14115
HTP',0,48,flat,14115
HTP,1,51,gaussian,15123
HTP',0,51,gaussian,15123
HTP,1,41,linear,12216
HTP',1,41,linear,12216
HTP,1,40,gaussian,11882
HTP',1,40,gaussian,11882
HTP,0,49,flat,14403
HTP',0,49,flat,14403
HTP,1,45,gaussian,13363
HTP',1,45,gaussian,13363
HTP,1,42,linear,12574
HTP',1,42,linear,12574
HTP,0,61,linear,18242
HTP',0,61,linear,18242
HTP,1,52,gaussian,15435
HTP',0,52,gaussian,15435
HTP,1,44,gaussian,13002
HTP',0,44,gaussian,13002
HTP,1,53,gaussian,15725
HTP',1,53,gaussian,15725
HTP,0,50,flat,14778
HTP',0,50,flat,14778
HTP,1,51,gaussian,15124
HTP',0,51,gaussian,15124
HTP,0,57,flat,16800
HTP',0,57,flat,16800
HTP,1,55,linear,16441
HTP',0,55,linear,16441
HTP,1,54,gaussian,16088
HTP',1,54,gaussian,16088
HTP,0,48,flat,14116
HTP',0,48,flat,14116
HTP,0,58,flat,17173
HTP',0,58,flat,17173
HTP,1,45,gaussian,13364
HTP',1,45,gaussian,13364
HTP,1,59,gaussian,17550
HTP',0,59,gaussian,17550
HTP,1,42,linear,12575
HTP',1,42,linear,12575
HTP,1,41,linear,12217
HTP',1,41,linear,12217
HTP,0,49,flat,14404
HTP',0,49,flat,14404
HTP,1,46,gaussian,13682
HTP',1,46,gaussian,13682
HTP,0,63,flat,18606
HTP',0,63,flat,18606
HTP,1,52,gaussian,15436
HTP',0,52,gaussian,15436
HTP,1,60,gaussian,17881
HTP',0,60,gaussian,17881
HTP,1,50,flat,14779
HTP',0,50,flat,14779
HTP,1,40,gaussian,11883
HTP',1,40,gaussian,11883
HTP,1,45,gaussian,13365
HTP',1,45,gaussian,13365
HTP,1,44,gaussian,13003
HTP',1,44,gaussian,13003
HTP,1,54,gaussian,16089
HTP',0,54,gaussian,16089
HTP,0,48,flat,14117
HTP',0,48,flat,14117
HTP,0,61,linear,18243
HTP',0,61,linear,18243
HTP,1,42,linear,12576
HTP',1,42,linear,12576
HTP,0,53,gaussian,15726
HTP',0,53,gaussian,15726
HTP,0,57,flat,16801
HTP',0,57,flat,16801
HTP,1,51,gaussian,15125
HTP',1,51,gaussian,15125
HTP,0,58,flat,17174
HTP',0,58,flat,17174
HTP,0,55,linear,16442
HTP',0,55,linear,16442
HTP,0,59,gaussian,17551
HTP',0,59,gaussian,17551
HTP,1,52,gaussian,15437
HTP',0,52,gaussian,15437
HTP,1,41,linear,12218
HTP',1,41,linear,12218
HTP,0,49,flat,14405
HTP',0,49,flat,14405
HTP,0,63,flat,18607
HTP',0,63,flat,18607
HTP,0,48,flat,14118
HTP',0,48,flat,14118
HTP,1,60,gaussian,17882
HTP',0,60,gaussian,17882
HTP,0,50,flat,14780
HTP',0,50,flat,14780
HTP,0,57,flat,16802
HTP',0,57,flat,16802
HTP,0,61,linear,18244
HTP',0,61,linear,18244
HTP,1,52,gaussian,15438
HTP',0,52,gaussian,15438
HTP,1,44,gaussian,13004
HTP',1,44,gaussian,13004
HTP,1,45,gaussian,13366
HTP',1,45,gaussian,13366
HTP,1,46,gaussian,13683
HTP',1,46,gaussian,13683
HTP,0,55,linear,16443
HTP',0,55,linear,16443
HTP,1,42,linear,12577
HTP',1,42,linear,12577
HTP,0,49,flat,14406
HTP',0,49,flat,14406
HTP,0,63,flat,18608
HTP',0,63,flat,18608
HTP,1,40,gaussian,11884
HTP',1,40,gaussian,11884
HTP,1,53,gaussian,15727
HTP',0,53,gaussian,15727
HTP,1,51,gaussian,15126
HTP',0,51,gaussian,15126
HTP,1,60,gaussian,17883
HTP',0,60,gaussian,17883
HTP,0,58,flat,17175
HTP',0,58,flat,17175
HTP,0,48,flat,14119
HTP',0,48,flat,14119
HTP,1,59,gaussian,17552
HTP',0,59,gaussian,17552
HTP,1,41,linear,12219
HTP',1,41,linear,12219
HTP,0,57,flat,16803
HTP',0,57,flat,16803
HTP,1,54,gaussian,16090
HTP',1,54,gaussian,16090
HTP,1,44,gaussian,13005
HTP',1,44,gaussian,13005
HTP,0,50,flat,14781
HTP',0,50,flat,14781
HTP,1,52,gaussian,15439
HTP',0,52,gaussian,15439
HTP,1,55,linear,16444
HTP',0,55,linear,16444
HTP,1,46,gaussian,13684
HTP',1,46,gaussian,13684
HTP,1,42,linear,12578
HTP',1,42,linear,12578
HTP,0,58,flat,17176
HTP',0,58,flat,17176
HTP,1,60,gaussian,17884
HTP',0,60,gaussian,17884
HTP,1,51,gaussian,15127
HTP',0,51,gaussian,15127
HTP,0,48,flat,14120
HTP',0,48,flat,14120
HTP,0,49,flat,14407
HTP',0,49,flat,14407
HTP,1,53,gaussian,15728
HTP',0,53,gaussian,15728
HTP,0,63,flat,18609
HTP',0,63,flat,18609
HTP,0,61,linear,18245
HTP',0,61,linear,18245
HTP,1,59,gaussian,17553
HTP',0,59,gaussian,17553
HTP,1,45,gaussian,13367
HTP',1,45,gaussian,13367
HTP,1,54,gaussian,16091
HTP',0,54,gaussian,16091
HTP,1,52,gaussian,15440
HTP',0,52,gaussian,15440
HTP,0,57,flat,16804
HTP',0,57,flat,16804
HTP,0,50,flat,14782
HTP',0,50,flat,14782
HTP,1,42,linear,12579
HTP',1,42,linear,12579
HTP,0,60,gaussian,17885
HTP',0,60,gaussian,17885
HTP,1,55,linear,16445
HTP',1,55,linear,16445
HTP,1,41,linear,12220
HTP',1,41,linear,12220
HTP,0,48,flat,14121
HTP',0,48,flat,14121
HTP,1,51,gaussian,15128
HTP',0,51,gaussian,15128
HTP,0,53,gaussian,15729
HTP',0,53,gaussian,15729
HTP,1,40,gaussian,11885
HTP',1,40,gaussian,11885
HTP,1,44,gaussian,13006
HTP',1,44,gaussian,13006
HTP,1,52,gaussian,15441
HTP',0,52,gaussian,15441
HTP,0,58,flat,17177
HTP',0,58,flat,17177
HTP,0,63,flat,18610
HTP',0,63,flat,18610
HTP,0,49,flat,14408
HTP',0,49,flat,14408
HTP,1,59,gaussian,17554
HTP',0,59,gaussian,17554
HTP,1,45,gaussian,13368
HTP',1,45,gaussian,13368
HTP,1,53,gaussian,15730
HTP',0,53,gaussian,15730
HTP,0,61,linear,18246
HTP',0,61,linear,18246
HTP,1,54,gaussian,16092
HTP',1,54,gaussian,16092
HTP,1,55,linear,16446
HTP',0,55,linear,16446
HTP,1,51,gaussian,15129
HTP',0,51,gaussian,15129
HTP,1,46,gaussian,13685
HTP',1,46,gaussian,13685
HTP,0,57,flat,16805
HTP',0,57,flat,16805
HTP,1,52,gaussian,15442
HTP',0,52,gaussian,15442
HTP,0,50,flat,14783
HTP',0,50,flat,14783
HTP,1,40,gaussian,11886
HTP',1,40,gaussian,11886
HTP,0,48,flat,14122
HTP',0,48,flat,14122
HTP,1,60,gaussian,17886
HTP',0,60,gaussian,17886
HTP,1,42,linear,12580
HTP',1,42,linear,12580
HTP,0,49,flat,14409
HTP',0,49,flat,14409
HTP,0,63,flat,18611
HTP',0,63,flat,18611
HTP,1,53,gaussian,15731
HTP',0,53,gaussian,15731
HTP,1,59,gaussian,17555
HTP',0,59,gaussian,17555
HTP,1,44,gaussian,13007
HTP',1,44,gaussian,13007
HTP,1,41,linear,12221
HTP',1,41,linear,12221
HTP,0,58,flat,17178
HTP',0,58,flat,17178
HTP,1,54,gaussian,16093
HTP',1,54,gaussian,16093
HTP,1,46,gaussian,13686
HTP',1,46,gaussian,13686
HTP,1,40,gaussian,11887
HTP',1,40,gaussian,11887
HTP,1,52,gaussian,15443
HTP',0,52,gaussian,15443
HTP,0,51,gaussian,15130
HTP',0,51,gaussian,15130
HTP,0,48,flat,14123
HTP',0,48,flat,14123
HTP,0,50,flat,14784
HTP',1,50,flat,14784
HTP,1,61,linear,18247
HTP',0,61,linear,18247
HTP,0,63,flat,18612
HTP',0,63,flat,18612
HTP,1,45,gaussian,13369
HTP',1,45,gaussian,13369
HTP,0,60,gaussian,17887
HTP',0,60,gaussian,17887
HTP,0,57,flat,16806
HTP',0,57,flat,16806
HTP,1,44,gaussian,13008
HTP',0,44,gaussian,13008
HTP,0,49,flat,14410
HTP',0,49,flat,14410
HTP,0,59,gaussian,17556
HTP',0,59,gaussian,17556
HTP,1,53,gaussian,15732
HTP',0,53,gaussian,15732
HTP,1,42,linear,12581
HTP',1,42,linear,12581
HTP,1,52,gaussian,15444
HTP',0,52,gaussian,15444
HTP,1,55,linear,16447
HTP',1,55,linear,16447
HTP,1,54,gaussian,16094
HTP',0,54,gaussian,16094
HTP,1,51,gaussian,15131
HTP',1,51,gaussian,15131
HTP,1,46,gaussian,13687
HTP',1,46,gaussian,13687
HTP,1,41,linear,12222
HTP',1,41,linear,12222
HTP,0,57,flat,16807
HTP',0,57,flat,16807
HTP,0,48,flat,14124
HTP',0,48,flat,14124
HTP,1,45,gaussian,13370
HTP',1,45,gaussian,13370
HTP,0,58,flat,17179
HTP',0,58,flat,17179
HTP,0,63,flat,18613
HTP',0,63,flat,18613
HTP,1,44,gaussian,13009
HTP',1,44,gaussian,13009
HTP,0,60,gaussian,17888
HTP',0,60,gaussian,17888
HTP,1,40,gaussian,11888
HTP',1,40,gaussian,11888
HTP,0,61,linear,18248
HTP',0,61,linear,18248
HTP,0,49,flat,14411
HTP',0,49,flat,14411
HTP,1,51,gaussian,15132
HTP',0,51,gaussian,15132
HTP,0,50,flat,14785
HTP',0,50,flat,14785
HTP,1,45,gaussian,13371
HTP',0,45,gaussian,13371
HTP,1,59,gaussian,17557
HTP',0,59,gaussian,17557
HTP,1,54,gaussian,16095
HTP',0,54,gaussian,16095
HTP,1,53,gaussian,15733
HTP',0,53,gaussian,15733
HTP,1,55,linear,16448
HTP',0,55,linear,16448
HTP,1,52,gaussian,15445
HTP',1,52,gaussian,15445
HTP,1,41,linear,12223
HTP',1,41,linear,12223
HTP,0,57,flat,16808
HTP',0,57,flat,16808
HTP,0,63,flat,18614
HTP',0,63,flat,18614
HTP,0,61,linear,18249
HTP',0,61,linear,18249
HTP,1,42,linear,12582
HTP',1,42,linear,12582
HTP,1,45,gaussian,13372
HTP',1,45,gaussian,13372
HTP,1,51,gaussian,15133
HTP',0,51,gaussian,15133
HTP,0,49,flat,14412
HTP',0,49,flat,14412
HTP,0,58,flat,17180
HTP',0,58,flat,17180
HTP,0,50,flat,14786
HTP',0,50,flat,14786
HTP,0,60,gaussian,17889
HTP',0,60,gaussian,17889
HTP,1,48,flat,14125
HTP',1,48,flat,14125
HTP,1,40,gaussian,11889
HTP',1,40,gaussian,11889
HTP,1,55,linear,16449
HTP',0,55,linear,16449
HTP,1,46,gaussian,13688
HTP',1,46,gaussian,13688
HTP,1,59,gaussian,17558
HTP',0,59,gaussian,17558
HTP,0,52,gaussian,15446
HTP',0,52,gaussian,15446
HTP,0,63,flat,18615
HTP',0,63,flat,18615
HTP,1,44,gaussian,13010
HTP',1,44,gaussian,13010
HTP,1,54,gaussian,16096
HTP',1,54,gaussian,16096
HTP,1,41,linear,12224
HTP',1,41,linear,12224
HTP,0,48,flat,14126
HTP',0,48,flat,14126
HTP,1,42,linear,12583
HTP',1,42,linear,12583
HTP,1,51,gaussian,15134
HTP',0,51,gaussian,15134
HTP,0,57,flat,16809
HTP',0,57,flat,16809
HTP,0,60,gaussian,17890
HTP',0,60,gaussian,17890
HTP,1,45,gaussian,13373
HTP',1,45,gaussian,13373
HTP,0,49,flat,14413
HTP',0,49,flat,14413
HTP,1,53,gaussian,15734
HTP',1,53,gaussian,15734
HTP,1,61,linear,18250
HTP',0,61,linear,18250
HTP,0,58,flat,17181
HTP',0,58,flat,17181
HTP,1,52,gaussian,15447
HTP',1,52,gaussian,15447
HTP,1,59,gaussian,17559
HTP',0,59,gaussian,17559
HTP,0,63,flat,18616
HTP',0,63,flat,18616
HTP,0,50,flat,14787
HTP',0,50,flat,14787
HTP,1,55,linear,16450
HTP',1,55,linear,16450
HTP,1,46,gaussian,13689
HTP',1,46,gaussian,13689
HTP,1,40,gaussian,11890
HTP',1,40,gaussian,11890
HTP,1,44,gaussian,13011
HTP',1,44,gaussian,13011
HTP,1,54,gaussian,16097
HTP',0,54,gaussian,16097
HTP,1,42,linear,12584
HTP',1,42,linear,12584
HTP,0,53,gaussian,15735
HTP',0,53,gaussian,15735
HTP,1,51,gaussian,15135
HTP',0,51,gaussian,15135
HTP,0,48,flat,14127
HTP',0,48,flat,14127
HTP,1,45,gaussian,13374
HTP',1,45,gaussian,13374
HTP,1,41,linear,12225
HTP',1,41,linear,12225
HTP,0,58,flat,17182
HTP',0,58,flat,17182
HTP,1,59,gaussian,17560
HTP',0,59,gaussian,17560
HTP,1,46,gaussian,13690
HTP',1,46,gaussian,13690
HTP,1,60,gaussian,17891
HTP',0,60,gaussian,17891
HTP,0,63,flat,18617
HTP',0,63,flat,18617
HTP,1,44,gaussian,13012
HTP',1,44,gaussian,13012
HTP,1,52,gaussian,15448
HTP',0,52,gaussian,15448
HTP,0,49,flat,14414
HTP',0,49,flat,14414
HTP,0,57,flat,16810
HTP',0,57,flat,16810
HTP,0,50,flat,14788
HTP',0,50,flat,14788
HTP,1,55,linear,16451
HTP',0,55,linear,16451
HTP,1,40,gaussian,11891
HTP',1,40,gaussian,11891
HTP,1,61,linear,18251
HTP',0,61,linear,18251
HTP,1,42,linear,12585
HTP',1,42,linear,12585
HTP,1,52,gaussian,15449
HTP',0,52,gaussian,15449
HTP,1,54,gaussian,16098
HTP',0,54,gaussian,16098
HTP,1,48,flat,14128
HTP',0,48,flat,14128
HTP,0,63,flat,18618
HTP',0,63,flat,18618
HTP,1,51,gaussian,15136
HTP',0,51,gaussian,15136
HTP,1,46,gaussian,13691
HTP',1,46,gaussian,13691
HTP,1,53,gaussian,15736
HTP',0,53,gaussian,15736
HTP,0,58,flat,17183
HTP',0,58,flat,17183
HTP,0,60,gaussian,17892
HTP',0,60,gaussian,17892
HTP,0,50,flat,14789
HTP',0,50,flat,14789
HTP,1,59,gaussian,17561
HTP',0,59,gaussian,17561
HTP,1,45,gaussian,13375
HTP',1,45,gaussian,13375
HTP,0,57,flat,16811
HTP',0,57,flat,16811
